date,category,amount,description
2026-03-01,Food,250,Breakfast
2026-03-01,Transport,5000,Taxi
2026-03-01,Food,500,Lunch
2026-01-01,Food,250,Breakfast
2026-01-01,Transport,5000,Taxi
2026-01-01,Food,500,Lunch
2026-01-01,Transport,500,Taxi
2026-01-02,Shopping,2000,Clothes
2026-01-02,Bills,1000,Electricity
2026-02-01,Food,1000,Breakfast
2026-02-03,Shopping,2000,Clothes
2026-02-01,Food,250,Breakfast
2026-02-01,Transport,5000,Taxi
2026-02-01,Food,500,Lunch
2026-02-01,Transport,500,Taxi
2026-02-02,Shopping,2000,Clothes
2026-02-02,Bills,1000,Electricity
2026-02-02,Food,1000,Breakfast
2026-02-03,Shopping,2000,Clothes
